"Category","City","Container","Customer_ID","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_ID","Order_Priority","Postal_Code","Region","Row_ID","Ship_Date","Ship_Mode","State","Discount","Gross_Profit_Ratio","Number_of_Records","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Binders and Binder Accessories","Mustang","Small Box","877","Christian Branch","Corporate","Office Supplies","GBC Wire Binding Strips","2013-03-14","91383","Not Specified","73064","Central","21854","2013-03-16","Regular Air","Oklahoma","2.00%","54.90%","1","5","37.00%","$93 ","$170 ","$13 ","$32 "
"Envelopes","Mustang","Small Box","877","Christian Branch","Corporate","Office Supplies","Park Ridge Embossed Executive Business Envelopes","2013-03-16","91384","Medium","73064","Central","23176","2013-03-17","Regular Air","Oklahoma","10.00%","69.00%","1","4","38.00%","$42 ","$61 ","$1 ","$16 "
"Bookcases","Mustang","Jumbo Box","877","Christian Branch","Corporate","Furniture","Hon Metal Bookcases, Black","2013-09-28","91385","High","73064","Central","26068","2013-09-30","Delivery Truck","Oklahoma","9.00%","-18.60%","1","14","60.00%","($176)","$945 ","$27 ","$71 "
"Paper","Rutland","Small Box","878","Alan Briggs","Corporate","Office Supplies","Xerox 1885","2013-09-28","91385","High","5701","East","26069","2013-09-30","Regular Air","Vermont","10.00%","61.20%","1","8","37.00%","$220 ","$360 ","$7 ","$48 "
"Envelopes","Scottsdale","Small Box","880","Ellen Beck","Small Business","Office Supplies","Staples Standard Envelopes","2010-03-25","86153","Critical","85254","West","18054","2010-03-27","Regular Air","Arizona","7.00%","69.00%","1","5","38.00%","$19 ","$27 ","$1 ","$6 "
"Paper","Scottsdale","Small Box","880","Ellen Beck","Small Business","Office Supplies","Xerox 1964","2010-03-25","86153","Critical","85254","West","18055","2010-03-27","Regular Air","Arizona","6.00%","-112.90%","1","1","39.00%","($31)","$28 ","$12 ","$23 "
"Copiers and Fax","Scottsdale","Large Box","880","Ellen Beck","Small Business","Technology","Canon PC1080F Personal Copier","2012-05-25","86156","Medium","85254","West","24452","2012-05-26","Regular Air","Arizona","3.00%","69.00%","1","11","50.00%","$4,771 ","$6,914 ","$24 ","$600 "
"Paper","Scottsdale","Wrap Bag","880","Ellen Beck","Small Business","Office Supplies","Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page","2012-05-25","86156","Medium","85254","West","24453","2012-05-27","Regular Air","Arizona","2.00%","32.00%","1","6","36.00%","$14 ","$43 ","$3 ","$7 "
"Computer Peripherals","Scottsdale","Small Box","880","Ellen Beck","Small Business","Technology","Fellowes EZ Multi-Media Keyboard","2013-03-26","86158","Critical","85254","West","23785","2013-03-29","Regular Air","Arizona","8.00%","-403.70%","1","1","76.00%","($139)","$34 ","$8 ","$35 "
"Envelopes","Sierra Vista","Small Box","881","Jerry Barnes Nelson","Small Business","Office Supplies","Staples Brown Kraft Recycled Clasp Envelopes","2011-05-24","86154","High","85635","West","25031","2011-05-25","Express Air","Arizona","9.00%","-97.30%","1","7","35.00%","($40)","$41 ","$5 ","$6 "
"Office Machines","Sierra Vista","Medium Box","881","Jerry Barnes Nelson","Small Business","Technology","TI 30X Scientific Calculator","2012-05-07","86155","Critical","85635","West","25758","2012-05-08","Express Air","Arizona","8.00%","16.70%","1","17","36.00%","$35 ","$208 ","$6 ","$12 "
"Storage  and  Organization","Sierra Vista","Small Box","881","Jerry Barnes Nelson","Small Business","Office Supplies","Sterilite Officeware Hinged File Box","2013-01-02","86157","Critical","85635","West","24690","2013-01-03","Regular Air","Arizona","10.00%","-157.90%","1","7","58.00%","($114)","$72 ","$7 ","$10 "
"Copiers and Fax","Atascadero","Large Box","883","Alex Harding","Home Office","Technology","Sharp AL-1530CS Digital Copier","2011-09-15","89543","Low","93422","West","21226","2011-09-22","Express Air","California","0.00%","-12.00%","1","21","36.00%","($1,313)","$10,933 ","$24 ","$500 "
"Tables","Atascadero","Jumbo Box","883","Alex Harding","Home Office","Furniture","Bretford CR8500 Series Meeting Room Furniture","2012-07-05","89545","High","93422","West","21242","2012-07-07","Regular Air","California","2.00%","42.20%","1","2","71.00%","$2 ","$6 ","$1 ","$3 "
"Office Furnishings","Atascadero","Large Box","883","Alex Harding","Consumer","Furniture","Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting","2013-09-20","89558","Medium","93422","West","20450","2013-09-22","Regular Air","California","2.00%","-38.30%","1","4","61.00%","($29)","$75 ","$12 ","$17 "
"Office Furnishings","Atascadero","Small Box","883","Alex Harding","Home Office","Furniture","Eldon Expressions Mahogany Wood Desk Collection","2013-10-27","89560","Critical","93422","West","20439","2013-10-28","Regular Air","California","3.00%","-41.80%","1","11","60.00%","($531)","$1,268 ","$35 ","$114 "
"Office Machines","Atascadero","Medium Box","883","Alex Harding","Home Office","Technology","Canon MP100DHII Printing Calculator","2013-11-14","89563","High","93422","West","20926","2013-11-14","Regular Air","California","1.00%","69.00%","1","43","37.00%","$4,473 ","$6,482 ","$14 ","$141 "
"Office Furnishings","Camp Springs","Medium Box","884","Kristina Grimes","Corporate","Furniture","Eldon ClusterMat Chair Mat with Cordless Antistatic Protection","2013-05-16","89554","Medium","20746","East","26134","2013-05-16","Express Air","Maryland","0.00%","68.10%","1","11","74.00%","$46 ","$68 ","$1 ","$6 "
"Chairs  and  Chairmats","Amarillo","Jumbo Drum","885","Malcolm Robertson","Corporate","Furniture","Global Stack Chair without Arms, Black","2010-11-24","89537","Critical","79109","Central","19401","2010-11-25","Delivery Truck","Texas","6.00%","5.40%","1","41","60.00%","$56 ","$1,034 ","$14 ","$26 "
"Office Furnishings","Amarillo","Large Box","885","Malcolm Robertson","Consumer","Furniture","Electrix Fluorescent Magnifier Lamps  and  Weighted Base","2013-05-20","89555","Not Specified","79109","Central","19060","2013-05-22","Regular Air","Texas","7.00%","69.00%","1","7","57.00%","$231 ","$334 ","$10 ","$49 "
"Office Furnishings","Amarillo","Wrap Bag","885","Malcolm Robertson","Consumer","Furniture","Coloredge Poster Frame","2013-05-20","89555","Not Specified","79109","Central","19061","2013-05-22","Regular Air","Texas","1.00%","69.00%","1","6","46.00%","$43 ","$63 ","$2 ","$10 "
"Bookcases","Amarillo","Jumbo Box","885","Malcolm Robertson","Corporate","Furniture","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","2013-10-31","89561","Critical","79109","Central","19285","2013-11-01","Delivery Truck","Texas","10.00%","-46.30%","1","7","65.00%","($433)","$935 ","$53 ","$141 "
"Office Furnishings","Amarillo","Medium Box","885","Malcolm Robertson","Corporate","Furniture","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48","2013-10-31","89561","Critical","79109","Central","19286","2013-11-02","Regular Air","Texas","10.00%","-124.90%","1","1","64.00%","($211)","$169 ","$20 ","$173 "
"Computer Peripherals","Arlington","Small Pack","886","Betty Barbour","Home Office","Technology","3.5 IBM Formatted Diskettes, DS/HD","2011-08-17","89542","Low","76017","Central","19591","2011-08-26","Regular Air","Texas","6.00%","-54.60%","1","12","66.00%","($42)","$76 ","$4 ","$7 "
"Office Furnishings","Arlington","Small Box","886","Betty Barbour","Home Office","Furniture","Staples Plastic Wall Frames","2011-08-17","89542","Low","76017","Central","19592","2011-08-19","Express Air","Texas","3.00%","69.00%","1","17","41.00%","$551 ","$799 ","$7 ","$48 "
"Chairs  and  Chairmats","Arlington","Jumbo Drum","886","Betty Barbour","Corporate","Furniture","Bevis Steel Folding Chairs","2011-12-12","89544","Low","76017","Central","19684","2011-12-17","Delivery Truck","Texas","3.00%","27.40%","1","22","57.00%","$1,298 ","$4,740 ","$68 ","$208 "
"Chairs  and  Chairmats","Arlington","Jumbo Drum","886","Betty Barbour","Corporate","Furniture","Global Deluxe Stacking Chair, Gray","2011-12-12","89544","Low","76017","Central","19685","2011-12-16","Regular Air","Texas","8.00%","-82.00%","1","1","56.00%","($23)","$28 ","$9 ","$25 "
"Office Furnishings","Arlington","Large Box","886","Betty Barbour","Corporate","Furniture","Dana Fluorescent Magnifying Lamp, White, 36","2011-12-12","89544","Low","76017","Central","19686","2011-12-17","Regular Air","Texas","1.00%","-124.80%","1","4","55.00%","($21)","$17 ","$6 ","$3 "
"Office Furnishings","Arlington","Large Box","886","Betty Barbour","Consumer","Furniture","Tensor Computer Mounted Lamp","2013-02-05","89551","Not Specified","76017","Central","20298","2013-02-07","Regular Air","Texas","6.00%","-288.20%","1","6","58.00%","($59)","$21 ","$4 ","$3 "
"Computer Peripherals","Austin","Small Pack","887","Cindy Hinton","Corporate","Technology","80 Minute CD-R Spindle, 100/Pack - Staples","2012-09-15","89546","Medium","78745","Central","21867","2012-09-17","Express Air","Texas","2.00%","52.40%","1","10","54.00%","$222 ","$423 ","$2 ","$39 "
"Office Furnishings","Austin","Small Pack","887","Cindy Hinton","Corporate","Furniture","Executive Impressions 12 Wall Clock","2012-09-15","89546","Medium","78745","Central","21868","2012-09-16","Regular Air","Texas","4.00%","31.20%","1","12","47.00%","$70 ","$224 ","$9 ","$18 "
"Tables","Austin","Jumbo Box","887","Cindy Hinton","Corporate","Furniture","Global Adaptabilities Conference Tables","2012-09-15","89546","Medium","78745","Central","21869","2012-09-16","Regular Air","Texas","7.00%","-57.90%","1","18","66.00%","($19)","$32 ","$1 ","$2 "
"Computer Peripherals","Austin","Small Pack","887","Cindy Hinton","Corporate","Technology","Memorex 4.7GB DVD+RW, 3/Pack","2013-03-29","89553","Medium","78745","Central","22590","2013-03-31","Regular Air","Texas","2.00%","69.00%","1","13","40.00%","$270 ","$392 ","$2 ","$28 "
"Bookcases","Austin","Jumbo Box","887","Cindy Hinton","Consumer","Furniture","Bush Mission Pointe Library","2013-08-14","89557","High","78745","Central","22931","2013-08-16","Regular Air","Texas","2.00%","-33.80%","1","7","65.00%","($13)","$39 ","$5 ","$5 "
"Telephones and Communication","Austin","Small Box","887","Cindy Hinton","Home Office","Technology","2160i","2013-11-09","89562","Not Specified","78745","Central","21337","2013-11-11","Regular Air","Texas","1.00%","16.80%","1","6","59.00%","$184 ","$1,096 ","$4 ","$201 "
"Tables","Baytown","Large Box","888","Phyllis Adcock","Consumer","Furniture","Hon 4060 Series Tables","2011-08-14","89541","High","77520","Central","22932","2011-08-16","Express Air","Texas","1.00%","69.00%","1","14","63.00%","$623 ","$902 ","$20 ","$61 "
"Chairs  and  Chairmats","Baytown","Medium Box","888","Phyllis Adcock","Consumer","Furniture","SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair","2013-07-07","89556","Low","77520","Central","23796","2013-07-09","Regular Air","Texas","9.00%","36.60%","1","12","","$109 ","$299 ","$5 ","$27 "
"Office Furnishings","Baytown","Medium Box","888","Phyllis Adcock","Consumer","Furniture","DAX Solid Wood Frames","2013-07-07","89556","Low","77520","Central","23797","2013-07-09","Regular Air","Texas","2.00%","62.20%","1","5","48.00%","$10 ","$17 ","$1 ","$3 "
"Bookcases","Baytown","Jumbo Box","888","Phyllis Adcock","Consumer","Furniture","OSullivan Elevations Bookcase, Cherry Finish","2013-09-24","89559","Not Specified","77520","Central","22992","2013-09-26","Delivery Truck","Texas","5.00%","-23.30%","1","18","69.00%","($565)","$2,426 ","$55 ","$131 "
"Office Furnishings","Beaumont","Small Pack","889","Elsie G Ferguson","Home Office","Furniture","Eldon Regeneration Recycled Desk Accessories, Smoke","2011-02-21","89538","Not Specified","77705","Central","23798","2011-02-23","Express Air","Texas","6.00%","-520.20%","1","7","53.00%","($77)","$15 ","$4 ","$2 "
"Office Furnishings","Beaumont","Wrap Bag","889","Elsie G Ferguson","Corporate","Furniture","Tenex B1-RE Series Chair Mats for Low Pile Carpets","2011-03-05","89539","High","77705","Central","24582","2011-03-06","Regular Air","Texas","4.00%","-35.10%","1","8","68.00%","($5)","$13 ","$1 ","$2 "
"Chairs  and  Chairmats","Beaumont","Jumbo Drum","889","Elsie G Ferguson","Corporate","Furniture","Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat","2011-03-10","89540","Medium","77705","Central","25307","2011-03-10","Regular Air","Texas","0.00%","69.00%","1","5","61.00%","$147 ","$214 ","$11 ","$39 "
"Bookcases","Beaumont","Jumbo Box","889","Elsie G Ferguson","Home Office","Furniture","Hon Metal Bookcases, Putty","2012-11-01","89547","Not Specified","77705","Central","25315","2012-11-01","Regular Air","Texas","7.00%","19.90%","1","33","56.00%","$44 ","$221 ","$10 ","$6 "
"Computer Peripherals","Beaumont","Small Pack","889","Elsie G Ferguson","Consumer","Technology","Imation 3.5 DS/HD IBM Formatted Diskettes, 10/Pack","2013-01-26","89550","Medium","77705","Central","24742","2013-01-28","Regular Air","Texas","5.00%","-270.20%","1","8","75.00%","($132)","$49 ","$4 ","$6 "
"Office Furnishings","Beaumont","Small Pack","889","Elsie G Ferguson","Consumer","Furniture","Executive Impressions 14 Two-Color Numerals Wall Clock","2013-01-26","89550","Medium","77705","Central","24743","2013-01-28","Regular Air","Texas","4.00%","-388.80%","1","3","44.00%","($86)","$22 ","$10 ","$6 "
"Office Furnishings","Beaumont","Jumbo Drum","889","Elsie G Ferguson","Consumer","Furniture","Westinghouse Floor Lamp with Metal Mesh Shade, Black","2013-03-17","89552","Low","77705","Central","24940","2013-03-21","Regular Air","Texas","8.00%","69.00%","1","7","62.00%","$122 ","$176 ","$6 ","$26 "
"Chairs  and  Chairmats","Bedford","Jumbo Drum","890","Billie Fowler","Consumer","Furniture","Metal Folding Chairs, Beige, 4/Carton","2010-01-05","89536","Critical","76021","Central","26011","2010-01-06","Regular Air","Texas","8.00%","6.60%","1","11","58.00%","$1 ","$20 ","$1 ","$2 "
"Telephones and Communication","Bedford","Small Box","890","Billie Fowler","Consumer","Technology","232","2010-01-05","89536","Critical","76021","Central","26015","2010-01-05","Regular Air","Texas","4.00%","69.00%","1","6","55.00%","$455 ","$660 ","$5 ","$126 "
"Chairs  and  Chairmats","Bedford","Jumbo Drum","890","Billie Fowler","Home Office","Furniture","Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs","2012-11-01","89547","Not Specified","76021","Central","25316","2012-11-02","Regular Air","Texas","7.00%","38.90%","1","40","55.00%","$51 ","$132 ","$1 ","$3 "
"Computer Peripherals","Bedford","Small Pack","890","Billie Fowler","Consumer","Technology","Imation 3.5, RTS 247544 3M 3.5 DSDD, 10/Pack","2013-01-03","89548","Not Specified","76021","Central","26077","2013-01-04","Regular Air","Texas","8.00%","-100.10%","1","10","61.00%","($80)","$80 ","$4 ","$8 "
"Chairs  and  Chairmats","Bedford","Jumbo Drum","890","Billie Fowler","Consumer","Furniture","Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms","2013-01-05","89549","Critical","76021","Central","26012","2013-01-07","Delivery Truck","Texas","6.00%","-934.60%","1","8","64.00%","($1,685)","$180 ","$53 ","$21 "
"Office Furnishings","Bedford","Large Box","890","Billie Fowler","Consumer","Furniture","Telescoping Adjustable Floor Lamp","2013-01-05","89549","Critical","76021","Central","26013","2013-01-05","Regular Air","Texas","7.00%","-12.10%","1","13","60.00%","($416)","$3,422 ","$35 ","$279 "
"Tables","Bedford","Jumbo Box","890","Billie Fowler","Consumer","Furniture","Iceberg OfficeWorks 42 Round Tables","2013-01-05","89549","Critical","76021","Central","26014","2013-01-06","Regular Air","Texas","8.00%","-270.70%","1","13","70.00%","($173)","$64 ","$6 ","$5 "
"Labels","Prior Lake","Small Box","892","Marilyn Baxter","Consumer","Office Supplies","Avery 506","2013-05-19","89474","High","55372","Central","20860","2013-05-20","Regular Air","Minnesota","2.00%","69.00%","1","10","39.00%","$29 ","$42 ","$1 ","$4 "
"Telephones and Communication","Sparks","Small Pack","893","Mike Wilder","Consumer","Technology","Accessory29","2012-05-19","89473","High","89431","West","19039","2012-05-21","Regular Air","Nevada","0.00%","9.10%","1","13","83.00%","$23 ","$249 ","$1 ","$21 "
"Storage  and  Organization","Sparks","Jumbo Drum","893","Mike Wilder","Consumer","Office Supplies","Tennsco Lockers, Sand","2013-05-19","89474","High","89431","West","20861","2013-05-19","Delivery Truck","Nevada","2.00%","-475.50%","1","15","61.00%","($1,638)","$344 ","$45 ","$21 "
"Binders and Binder Accessories","Sparks","Small Box","893","Mike Wilder","Consumer","Office Supplies","Acco Recycled 2 Capacity Laser Printer Hanging Data Binders","2013-10-28","89475","Low","89431","West","19133","2013-10-28","Regular Air","Nevada","0.00%","17.70%","1","20","38.00%","$53 ","$301 ","$7 ","$14 "
"Office Furnishings","Washington","Wrap Bag","894","Gail Rankin Cole","Corporate","Furniture","Document Clip Frames","2010-01-10","14596","Critical","20024","East","2045","2010-01-12","Regular Air","District of Columbia","1.00%","14.70%","1","24","43.00%","$29 ","$199 ","$1 ","$8 "
"Pens  and  Art Supplies","Washington","Wrap Bag","894","Gail Rankin Cole","Corporate","Office Supplies","Newell 337","2010-01-10","14596","Critical","20024","East","2046","2010-01-11","Regular Air","District of Columbia","6.00%","-136.20%","1","19","56.00%","($86)","$63 ","$4 ","$3 "
"Rubber Bands","Washington","Wrap Bag","894","Gail Rankin Cole","Corporate","Office Supplies","OIC Thumb-Tacks","2010-02-02","38529","Low","20024","East","5421","2010-02-02","Regular Air","District of Columbia","2.00%","-1.10%","1","38","38.00%","$0 ","$45 ","$1 ","$1 "
"Paper","Washington","Small Box","894","Gail Rankin Cole","Corporate","Office Supplies","Xerox 210","2011-08-18","50246","Medium","20024","East","7038","2011-08-19","Express Air","District of Columbia","5.00%","-26.20%","1","25","37.00%","($48)","$182 ","$7 ","$6 "
"Paper","Washington","Small Box","894","Gail Rankin Cole","Corporate","Office Supplies","Xerox 221","2012-01-09","14693","Critical","20024","East","2055","2012-01-11","Regular Air","District of Columbia","2.00%","-46.20%","1","44","37.00%","($140)","$303 ","$6 ","$6 "
"Storage  and  Organization","Washington","Jumbo Drum","894","Gail Rankin Cole","Corporate","Office Supplies","Tennsco Lockers, Sand","2012-01-09","14693","Critical","20024","East","2056","2012-01-11","Delivery Truck","District of Columbia","5.00%","-224.90%","1","43","61.00%","($2,158)","$959 ","$45 ","$21 "
"Office Machines","Washington","Jumbo Box","894","Gail Rankin Cole","Corporate","Technology","Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer","2012-05-01","56834","High","20024","East","7954","2012-05-03","Delivery Truck","District of Columbia","0.00%","6.70%","1","35","40.00%","$203 ","$3,023 ","$30 ","$81 "
"Paper","Washington","Small Box","894","Gail Rankin Cole","Corporate","Office Supplies","Xerox 214","2012-05-01","56834","High","20024","East","7955","2012-05-02","Regular Air","District of Columbia","9.00%","-36.60%","1","52","37.00%","($119)","$324 ","$7 ","$6 "
"Office Furnishings","Washington","Wrap Bag","894","Gail Rankin Cole","Corporate","Furniture","Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats","2013-07-28","55813","Low","20024","East","7802","2013-07-28","Regular Air","District of Columbia","8.00%","-22.10%","1","55","78.00%","($824)","$3,738 ","$38 ","$71 "
"Office Furnishings","Washington","Small Box","894","Gail Rankin Cole","Corporate","Furniture","Seth Thomas 12 Clock w/ Goldtone Case","2013-11-01","32325","Critical","20024","East","4544","2013-11-02","Regular Air","District of Columbia","0.00%","4.80%","1","162","51.00%","$189 ","$3,973 ","$8 ","$23 "
"Computer Peripherals","Washington","Small Pack","894","Gail Rankin Cole","Corporate","Technology","DS/HD IBM Formatted Diskettes, 200/Pack - Staples","2013-12-20","10624","Critical","20024","East","1470","2013-12-22","Regular Air","District of Columbia","6.00%","1.10%","1","46","71.00%","$24 ","$2,165 ","$4 ","$48 "
"Telephones and Communication","Washington","Wrap Bag","894","Gail Rankin Cole","Corporate","Technology","Accessory21","2013-12-25","19394","Medium","20024","East","2680","2013-12-26","Regular Air","District of Columbia","5.00%","13.50%","1","32","37.00%","$75 ","$559 ","$1 ","$21 "
"Telephones and Communication","Washington","Small Box","894","Gail Rankin Cole","Corporate","Technology","StarTAC 6500","2013-12-25","19394","Medium","20024","East","2681","2013-12-28","Regular Air","District of Columbia","5.00%","-41.90%","1","10","59.00%","($452)","$1,078 ","$9 ","$126 "
"Office Machines","Eagle","Jumbo Box","895","Gordon Sutherland","Corporate","Technology","Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer","2012-05-01","90169","High","83616","West","25954","2012-05-03","Delivery Truck","Idaho","0.00%","26.10%","1","9","40.00%","$203 ","$777 ","$30 ","$81 "
"Paper","Eagle","Small Box","895","Gordon Sutherland","Corporate","Office Supplies","Xerox 214","2012-05-01","90169","High","83616","West","25955","2012-05-02","Regular Air","Idaho","9.00%","-146.40%","1","13","37.00%","($119)","$81 ","$7 ","$6 "
"Rubber Bands","Eagle","Wrap Bag","895","Gordon Sutherland","Corporate","Office Supplies","OIC Thumb-Tacks","2013-02-02","90170","Low","83616","West","23421","2013-02-02","Regular Air","Idaho","2.00%","-4.20%","1","10","38.00%","$0 ","$12 ","$1 ","$1 "
"Office Furnishings","Eagle","Wrap Bag","895","Gordon Sutherland","Corporate","Furniture","Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats","2013-07-28","90171","Low","83616","West","25802","2013-07-28","Regular Air","Idaho","8.00%","-79.00%","1","14","78.00%","($752)","$952 ","$38 ","$71 "
"Paper","Eagle","Small Box","895","Gordon Sutherland","Corporate","Office Supplies","Xerox 210","2013-08-18","90172","Medium","83616","West","25038","2013-08-19","Express Air","Idaho","5.00%","-39.60%","1","7","37.00%","($20)","$51 ","$7 ","$6 "
"Office Furnishings","Eagle","Small Box","895","Gordon Sutherland","Corporate","Furniture","Seth Thomas 12 Clock w/ Goldtone Case","2013-11-01","90173","Critical","83616","West","22544","2013-11-02","Regular Air","Idaho","0.00%","46.40%","1","41","51.00%","$466 ","$1,006 ","$8 ","$23 "
"Office Furnishings","Denton","Wrap Bag","896","Jennifer Siegel","Corporate","Furniture","Document Clip Frames","2010-01-10","90166","Critical","76201","Central","20045","2010-01-12","Regular Air","Texas","1.00%","69.00%","1","6","43.00%","$34 ","$50 ","$1 ","$8 "
"Pens  and  Art Supplies","Denton","Wrap Bag","896","Jennifer Siegel","Corporate","Office Supplies","Newell 337","2010-01-10","90166","Critical","76201","Central","20046","2010-01-11","Regular Air","Texas","6.00%","-401.00%","1","5","56.00%","($67)","$17 ","$4 ","$3 "
"Computer Peripherals","Denton","Small Pack","896","Jennifer Siegel","Corporate","Technology","DS/HD IBM Formatted Diskettes, 200/Pack - Staples","2010-12-20","90167","Critical","76201","Central","19470","2010-12-22","Regular Air","Texas","6.00%","6.90%","1","11","71.00%","$36 ","$518 ","$4 ","$48 "
"Paper","Denton","Small Box","896","Jennifer Siegel","Corporate","Office Supplies","Xerox 221","2012-01-09","90168","Critical","76201","Central","20055","2012-01-11","Regular Air","Texas","2.00%","-143.10%","1","11","37.00%","($109)","$76 ","$6 ","$6 "
"Storage  and  Organization","Denton","Jumbo Drum","896","Jennifer Siegel","Corporate","Office Supplies","Tennsco Lockers, Sand","2012-01-09","90168","Critical","76201","Central","20056","2012-01-11","Delivery Truck","Texas","5.00%","-681.30%","1","11","61.00%","($1,672)","$245 ","$45 ","$21 "
"Telephones and Communication","Denton","Wrap Bag","896","Jennifer Siegel","Corporate","Technology","Accessory21","2013-12-25","90174","Medium","76201","Central","20680","2013-12-26","Regular Air","Texas","5.00%","69.00%","1","8","37.00%","$96 ","$140 ","$1 ","$21 "
"Telephones and Communication","Denton","Small Box","896","Jennifer Siegel","Corporate","Technology","StarTAC 6500","2013-12-25","90174","Medium","76201","Central","20681","2013-12-28","Regular Air","Texas","5.00%","-47.00%","1","3","59.00%","($152)","$324 ","$9 ","$126 "
"Storage  and  Organization","Belle Glade","Small Box","897","Daniel Sigmon","Small Business","Office Supplies","Tenex Personal Project File with Scoop Front Design, Black","2013-04-02","86266","Medium","33430","South","22925","2013-04-04","Regular Air","Florida","10.00%","-46.60%","1","11","59.00%","($66)","$141 ","$5 ","$13 "
"Office Machines","New York City","Jumbo Drum","898","Harriet Hodges","Small Business","Technology","Lexmark Z55se Color Inkjet Printer","2010-07-12","33635","High","10039","East","4724","2010-07-13","Delivery Truck","New York","4.00%","-30.20%","1","6","38.00%","($173)","$573 ","$28 ","$91 "
"Storage  and  Organization","New York City","Large Box","898","Harriet Hodges","Small Business","Office Supplies","Tennsco Commercial Shelving","2010-07-12","33635","High","10039","East","4725","2010-07-13","Regular Air","New York","7.00%","-68.60%","1","5","84.00%","($96)","$140 ","$35 ","$20 "
"Labels","New York City","Small Box","898","Harriet Hodges","Small Business","Office Supplies","Round Specialty Laser Printer Labels","2010-07-27","9606","Not Specified","10039","East","1311","2010-07-27","Regular Air","New York","2.00%","44.30%","1","47","38.00%","$263 ","$594 ","$0 ","$13 "
"Paper","New York City","Wrap Bag","898","Harriet Hodges","Small Business","Office Supplies","Array Memo Cubes","2010-07-27","9606","Not Specified","10039","East","1312","2010-07-29","Express Air","New York","7.00%","16.30%","1","44","36.00%","$37 ","$229 ","$2 ","$5 "
"Rubber Bands","New York City","Wrap Bag","898","Harriet Hodges","Small Business","Office Supplies","Staples Bulk Pack Metal Binder Clips","2012-12-26","454","Low","10039","East","78","2012-12-28","Regular Air","New York","9.00%","12.00%","1","84","35.00%","$56 ","$468 ","$2 ","$6 "
"Storage  and  Organization","New York City","Small Box","898","Harriet Hodges","Small Business","Office Supplies","Tenex Personal Project File with Scoop Front Design, Black","2013-04-02","35045","Medium","10039","East","4925","2013-04-04","Regular Air","New York","10.00%","-1.80%","1","44","59.00%","($10)","$565 ","$5 ","$13 "
"Office Machines","Altoona","Jumbo Drum","899","Jordan Berry","Small Business","Technology","Lexmark Z55se Color Inkjet Printer","2010-07-12","86263","High","16602","East","22724","2010-07-13","Delivery Truck","Pennsylvania","4.00%","-90.60%","1","2","38.00%","($173)","$191 ","$28 ","$91 "
"Storage  and  Organization","Altoona","Large Box","899","Jordan Berry","Small Business","Office Supplies","Tennsco Commercial Shelving","2010-07-12","86263","High","16602","East","22725","2010-07-13","Regular Air","Pennsylvania","7.00%","-342.80%","1","1","84.00%","($96)","$28 ","$35 ","$20 "
"Labels","Altoona","Small Box","899","Jordan Berry","Small Business","Office Supplies","Round Specialty Laser Printer Labels","2010-07-27","86264","Not Specified","16602","East","19311","2010-07-27","Regular Air","Pennsylvania","2.00%","69.00%","1","12","38.00%","$105 ","$152 ","$0 ","$13 "
"Paper","Altoona","Wrap Bag","899","Jordan Berry","Small Business","Office Supplies","Array Memo Cubes","2010-07-27","86264","Not Specified","16602","East","19312","2010-07-29","Express Air","Pennsylvania","7.00%","65.30%","1","11","36.00%","$37 ","$57 ","$2 ","$5 "
"Rubber Bands","Altoona","Wrap Bag","899","Jordan Berry","Small Business","Office Supplies","Staples Bulk Pack Metal Binder Clips","2012-12-26","86265","Low","16602","East","18078","2012-12-28","Regular Air","Pennsylvania","9.00%","69.00%","1","21","35.00%","$81 ","$117 ","$2 ","$6 "
"Office Machines","Modesto","Jumbo Drum","901","Lester Wilcox","Consumer","Technology","Epson LQ-570e Dot Matrix Printer","2011-05-17","90807","Low","95351","West","20791","2011-05-24","Delivery Truck","California","1.00%","69.00%","1","11","56.00%","$2,206 ","$3,197 ","$28 ","$271 "
"Office Furnishings","Modesto","Wrap Bag","901","Lester Wilcox","Consumer","Furniture","Eldon Radial Chair Mat for Low to Medium Pile Carpets","2011-07-09","90808","High","95351","West","20128","2011-07-11","Express Air","California","9.00%","37.60%","1","11","65.00%","$154 ","$410 ","$9 ","$40 "
"Rubber Bands","Modesto","Wrap Bag","901","Lester Wilcox","Consumer","Office Supplies","OIC Thumb-Tacks","2011-12-18","90809","Not Specified","95351","West","20356","2011-12-20","Regular Air","California","6.00%","-3.30%","1","19","38.00%","($1)","$22 ","$1 ","$1 "
