"Category","City","Container","Continent","Country_Region","Customer_Name","Customer_Segment","Department","Item","Order_Date","Order_Priority","Postal_Code","Region","Ship_Date","Ship_Mode","State","Customer_ID","Discount","Number_of_Records","Order_ID","Order_Quantity","Product_Base_Margin","Profit","Sales","Shipping_Cost","Unit_Price"
"Binders and Binder Accessories","Fridley","Small Box","North America","United States of America","Karen Warren","Home Office","Office Supplies","Presstex Flexible Ring Binders","4/8/10","Not Specified","55432","Central","4/9/10","Regular Air","Minnesota","2,563","8.00","1","91,447","9","35.00","27","39","1","5"
"Envelopes","Smithtown","Small Box","North America","United States of America","Timothy Reese","Small Business","Office Supplies","Grip Seal Envelopes","4/8/10","Critical","11787","East","4/9/10","Regular Air","New York","15","0.00","1","86,837","7","38.00","60","33","5","4"
"Envelopes","Addis Ababa","Small Box","Africa","Ethiopia","Ryan McKenzie","Small Business","Office Supplies","Grip Seal Envelopes","4/8/10","Critical","","International","4/9/10","Regular Air","Addis Ababa","13","0.00","1","1,189","27","38.00","60","129","5","4"
"Appliances","Grand Prairie","Small Box","North America","United States of America","Diana Coble Hubbard","Corporate","Office Supplies","Belkin F9M820V08 8 Outlet Surge","4/8/10","Critical","75051","Central","4/10/10","Express Air","Texas","1,935","1.00","1","86,686","9","56.00","285","414","5","43"
"Appliances","Guangzhou","Small Box","Asia","China","Kevin Beck","Corporate","Office Supplies","Belkin F9M820V08 8 Outlet Surge","4/8/10","Critical","","International","4/10/10","Express Air","Guangdong Sheng","1,932","1.00","1","12,768","34","56.00","502","1,563","5","43"
"Computer Peripherals","Hopkinton","Small Pack","North America","United States of America","Wayne Lutz","Consumer","Technology","TDK 4.7GB DVD-R Spindle, 15/Pack","4/8/10","Low","1748","East","4/12/10","Regular Air","Massachusetts","1,614","6.00","1","87,823","12","42.00","341","494","2","41"
"Computer Peripherals","Sao Paulo","Small Pack","South America","Brazil","Max Mayer","Consumer","Technology","TDK 4.7GB DVD-R Spindle, 15/Pack","4/8/10","Low","","International","4/12/10","Regular Air","Sa_o Paulo","1,608","6.00","1","2,722","46","42.00","808","1,896","2","41"
"Labels","Jakarta","Small Box","Asia","Indonesia","Darlene McLaughlin","Corporate","Office Supplies","Avery 51","4/8/10","Low","","International","4/17/10","Express Air","Jakarta","2,120","6.00","1","36,838","3","39.00","11","33","1","6"
"Tables","Chongqing","Jumbo Drum","Asia","China","Randall Beasley","Consumer","Furniture","SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black","4/9/10","High","","International","4/10/10","Delivery Truck","Chongqing Shi","1,177","9.00","1","8,646","29","","2,154","9,559","60","349"
"Tables","Altamonte Springs","Jumbo Drum","North America","United States of America","Sandy Hunt","Consumer","Furniture","SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black","4/9/10","High","32701","South","4/10/10","Delivery Truck","Florida","1,178","9.00","1","89,787","7","","369","2,307","60","349"
"Office Furnishings","Ahmedabad","Medium Box","Asia","India","Lynne Solomon Lawson","Corporate","Furniture","DAX Solid Wood Frames","4/9/10","Not Specified","","International","4/10/10","Regular Air","Gujarat","2,845","2.00","1","27,491","36","48.00","15","351","6","10"
"Office Furnishings","Collierville","Medium Box","North America","United States of America","Vanessa Day","Corporate","Furniture","DAX Solid Wood Frames","4/9/10","Not Specified","38017","South","4/10/10","Regular Air","Tennessee","2,847","2.00","1","85,928","9","48.00","535","88","6","10"
"Pens and Art Supplies","Greenfield","Wrap Bag","North America","United States of America","Stephanie Hawkins","Small Business","Office Supplies","Newell 318","4/9/10","Not Specified","53220","Central","4/10/10","Regular Air","Wisconsin","2,334","8.00","1","89,609","7","59.00","9","19","1","3"
"Pens and Art Supplies","Paris","Wrap Bag","Europe","France","Cathy Shea","Small Business","Office Supplies","Newell 318","4/9/10","Not Specified","75006","International","4/10/10","Regular Air","le-de-France","2,331","8.00","1","40,258","29","59.00","9","81","1","3"
"Office Machines","Sao Paulo","Jumbo Box","South America","Brazil","Roger Ray","Consumer","Technology","Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer","4/9/10","Critical","","International","4/10/10","Delivery Truck","Sa_o Paulo","1,184","7.00","1","45,120","39","36.00","5,476","14,591","48","401"
"Office Machines","Huntington Beach","Jumbo Box","North America","United States of America","Glenda Herbert","Consumer","Technology","Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer","4/9/10","Critical","92646","West","4/10/10","Delivery Truck","California","1,186","7.00","1","85,939","10","36.00","2,582","3,741","48","401"
"Telephones and Communication","Seoul","Small Box","Asia","Republic of Korea","Jessica Hines","Corporate","Technology","StarTAC 3000","4/9/10","Medium","","International","4/10/10","Regular Air","Soul","1,270","7.00","1","11,174","30","59.00","603","3,197","8","126"
"Telephones and Communication","La Mesa","Small Box","North America","United States of America","Joanne Church","Corporate","Technology","StarTAC 3000","4/9/10","Medium","91941","West","4/10/10","Regular Air","California","1,271","7.00","1","88,410","8","59.00","588","853","8","126"
"Chairs and Chairmats","Altamonte Springs","Jumbo Drum","North America","United States of America","Sandy Hunt","Consumer","Furniture","Global Leather Executive Chair","4/9/10","High","32701","South","4/11/10","Delivery Truck","Florida","1,178","6.00","1","89,787","10","55.00","303","3,507","39","351"
"Appliances","Chongqing","Large Box","Asia","China","Randall Beasley","Consumer","Office Supplies","Hoover Portapower Portable Vacuum","4/9/10","High","","International","4/11/10","Regular Air","Chongqing Shi","1,177","3.00","1","8,646","8","60.00","328","86","49","4"
"Appliances","Altamonte Springs","Large Box","North America","United States of America","Sandy Hunt","Consumer","Office Supplies","Hoover Portapower Portable Vacuum","4/9/10","High","32701","South","4/11/10","Regular Air","Florida","1,178","3.00","1","89,787","2","60.00","64","21","49","4"
"Envelopes","Ahmedabad","Small Box","Asia","India","Lynne Solomon Lawson","Corporate","Office Supplies","Tyvek Side-Opening Peel and Seel Expanding Envelopes","4/9/10","Not Specified","","International","4/11/10","Regular Air","Gujarat","2,845","4.00","1","27,491","11","40.00","186","985","20","90"
"Envelopes","Collierville","Small Box","North America","United States of America","Vanessa Day","Corporate","Office Supplies","Tyvek Side-Opening Peel and Seel Expanding Envelopes","4/9/10","Not Specified","38017","South","4/11/10","Regular Air","Tennessee","2,847","4.00","1","85,928","3","40.00","56","269","20","90"
"Pens and Art Supplies","Collierville","Small Box","North America","United States of America","Vanessa Day","Corporate","Office Supplies","Hunt Boston Vacuum Mount KS Pencil Sharpener","4/9/10","Not Specified","38017","South","4/11/10","Regular Air","Tennessee","2,847","9.00","1","85,928","1","59.00","209","38","8","35"
"Appliances","Greenfield","Small Box","North America","United States of America","Stephanie Hawkins","Small Business","Office Supplies","Holmes Replacement Filter for HEPA Air Cleaner, Large Room","4/9/10","Not Specified","53220","Central","4/11/10","Regular Air","Wisconsin","2,334","5.00","1","89,609","8","43.00","190","116","13","15"
"Appliances","Paris","Small Box","Europe","France","Cathy Shea","Small Business","Office Supplies","Holmes Replacement Filter for HEPA Air Cleaner, Large Room","4/9/10","Not Specified","75006","International","4/11/10","Regular Air","le-de-France","2,331","5.00","1","40,258","31","43.00","190","449","13","15"
"Computer Peripherals","Chongqing","Small Box","Asia","China","Randall Beasley","Consumer","Technology","Targus USB Numeric Keypad","4/9/10","High","","International","4/11/10","Express Air","Chongqing Shi","1,177","9.00","1","8,646","26","74.00","127","994","7","41"
"Computer Peripherals","Altamonte Springs","Small Box","North America","United States of America","Sandy Hunt","Consumer","Technology","Targus USB Numeric Keypad","4/9/10","High","32701","South","4/11/10","Express Air","Florida","1,178","9.00","1","89,787","7","74.00","6","268","7","41"
"Computer Peripherals","Mcminnville","Small Pack","North America","United States of America","Dwight M Carr","Home Office","Technology","Fuji Slim Jewel Case CD-R","4/9/10","Low","97128","West","4/11/10","Regular Air","Oregon","115","7.00","1","89,585","12","55.00","56","26","2","2"
"Computer Peripherals","Seattle","Small Pack","North America","United States of America","Linda Weiss","Home Office","Technology","Fuji Slim Jewel Case CD-R","4/9/10","Low","98103","West","4/11/10","Regular Air","Washington","117","7.00","1","58,914","46","55.00","56","100","2","2"
"Telephones and Communication","Odessa","Small Box","North America","United States of America","Annie Sherrill","Consumer","Technology","5185","4/9/10","Low","79762","Central","4/13/10","Regular Air","Texas","2,851","5.00","1","86,454","11","58.00","719","1,043","9","116"
"Telephones and Communication","Moscow","Small Box","Asia","Russian Federation","Janet Combs","Consumer","Technology","5185","4/9/10","Low","","International","4/13/10","Regular Air","Moskva (city)","2,849","5.00","1","39,815","43","58.00","842","4,075","9","116"
"Office Furnishings","Mexico City","Small Box","North America","Mexico","Darlene Clapp","Corporate","Furniture","Regeneration Desk Collection","4/10/10","Medium","","International","4/11/10","Express Air","Distrito Federal","1,160","2.00","1","51,047","28","41.00","84","66","5","2"
"Office Furnishings","Mexico City","Wrap Bag","North America","Mexico","Darlene Clapp","Corporate","Furniture","Eldon Econocleat Chair Mats for Low Pile Carpets","4/10/10","Medium","","International","4/11/10","Regular Air","Distrito Federal","1,160","3.00","1","51,047","38","73.00","682","1,685","34","41"
"Appliances","Omaha","Jumbo Drum","North America","United States of America","Sidney Bowling","Home Office","Office Supplies","Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black","4/10/10","Not Specified","68046","Central","4/11/10","Delivery Truck","Nebraska","1,103","5.00","1","90,977","7","57.00","772","2,291","91","328"
"Appliances","New York City","Jumbo Drum","North America","United States of America","Timothy Ross","Home Office","Office Supplies","Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black","4/10/10","Not Specified","10282","East","4/11/10","Delivery Truck","New York","1,104","5.00","1","27,456","29","57.00","772","9,493","91","328"
"Scissors, Rulers and Trimmers","Oak Park","Small Pack","North America","United States of America","Kim McCarthy","Consumer","Office Supplies","Fiskars Softgrip Scissors","4/10/10","Not Specified","48237","Central","4/11/10","Regular Air","Michigan","2,999","3.00","1","87,041","5","57.00","12","56","3","11"
"Scissors, Rulers and Trimmers","Beijing","Small Pack","Asia","China","Alan Morris","Consumer","Office Supplies","Fiskars Softgrip Scissors","4/10/10","Not Specified","","International","4/11/10","Regular Air","Beijing","2,997","3.00","1","20,838","21","57.00","12","236","3","11"
"Pens and Art Supplies","Beijing","Wrap Bag","Asia","China","Alan Morris","Consumer","Office Supplies","Newell 342","4/10/10","Not Specified","","International","4/11/10","Regular Air","Beijing","2,997","5.00","1","20,838","5","56.00","15","20","4","3"
"Pens and Art Supplies","Killeen","Wrap Bag","North America","United States of America","Kimberly Reilly","Home Office","Office Supplies","SANFORD Major Accent Highlighters","4/10/10","Not Specified","76541","Central","4/11/10","Regular Air","Texas","2,430","4.00","1","91,109","7","47.00","25","49","2","7"
"Pens and Art Supplies","Manila","Wrap Bag","Asia","Philippines","Edward Chappell","Home Office","Office Supplies","SANFORD Major Accent Highlighters","4/10/10","Not Specified","","International","4/11/10","Regular Air","R_gion Capitale Nationale","2,428","4.00","1","29,219","29","47.00","25","203","2","7"
"Office Machines","Beijing","Medium Box","Asia","China","Jason Fink","Home Office","Technology","210 Trimline Phone, White","4/10/10","High","","International","4/11/10","Regular Air","Beijing","449","3.00","1","20,519","7","38.00","53","124","11","16"
"Office Machines","Los Altos","Medium Box","North America","United States of America","Joyce Murray","Home Office","Technology","210 Trimline Phone, White","4/10/10","High","94024","West","4/11/10","Regular Air","California","451","3.00","1","86,010","2","38.00","53","35","11","16"
"Tables","Cairo","Jumbo Box","Africa","Egypt","Victor Roberson Sanchez","Home Office","Furniture","Bretford CR8500 Series Meeting Room Furniture","4/10/10","Medium","","International","4/12/10","Delivery Truck","Al Qahirah","944","1.00","1","29,284","20","71.00","1,116","6,449","43","401"
"Paper","Rio de Janeiro","Small Box","South America","Brazil","Zachary G Keller","Corporate","Office Supplies","Xerox 1891","4/10/10","Critical","","International","4/12/10","Regular Air","Rio de Janeiro","1,560","0.00","1","43,269","16","38.00","355","843","6","49"
"Binders and Binder Accessories","Rio de Janeiro","Small Box","South America","Brazil","Zachary G Keller","Corporate","Office Supplies","GBC DocuBind P100 Manual Binding Machine","4/10/10","Critical","","International","4/12/10","Regular Air","Rio de Janeiro","1,560","8.00","1","43,269","24","40.00","1,337","3,978","20","166"
"Appliances","Sao Paulo","Medium Box","South America","Brazil","Roger Ray","Consumer","Office Supplies","Harmony HEPA Quiet Air Purifiers","4/10/10","Not Specified","","International","4/13/10","Regular Air","Sa_o Paulo","1,184","8.00","1","19,975","33","50.00","84","362","7","12"
"Appliances","Madison","Medium Box","North America","United States of America","Lee Xu","Consumer","Office Supplies","Harmony HEPA Quiet Air Purifiers","4/10/10","Not Specified","35756","South","4/13/10","Regular Air","Alabama","1,185","8.00","1","85,940","8","50.00","29","88","7","12"
"Binders and Binder Accessories","Sao Paulo","Small Box","South America","Brazil","Roger Ray","Consumer","Office Supplies","Surelock Post Binders","4/11/10","Medium","","International","4/11/10","Regular Air","Sa_o Paulo","1,184","3.00","1","58,279","44","35.00","556","1,317","3","31"
"Office Furnishings","La Vista","Small Pack","North America","United States of America","Carrie High","Corporate","Furniture","Aluminum Document Frame","4/11/10","High","68128","Central","4/12/10","Regular Air","Nebraska","2,862","0.00","1","88,278","9","55.00","76","111","3","12"
"Office Furnishings","Mexico City","Small Pack","North America","Mexico","Joan Oakley Schaefer","Corporate","Furniture","Aluminum Document Frame","4/11/10","High","","International","4/12/10","Regular Air","Distrito Federal","2,857","0.00","1","56,677","35","55.00","120","431","3","12"
"Paper","Norfolk","Small Box","North America","United States of America","Judy Barrett","Small Business","Office Supplies","14-7/8 x 11 Blue Bar Computer Printout Paper","4/11/10","Not Specified","68701","Central","4/13/10","Regular Air","Nebraska","445","3.00","1","88,083","2","37.00","4","102","20","48"
"Binders and Binder Accessories","Dalian","Small Box","Asia","China","Joe Love","Small Business","Office Supplies","Avery Legal 4-Ring Binder","4/11/10","Not Specified","","International","4/13/10","Regular Air","Liaoning Sheng","442","10.00","1","36,706","47","35.00","366","887","1","21"
"Scissors, Rulers and Trimmers","Lisbon","Small Pack","Europe","Portugal","Dennis Paul","Consumer","Office Supplies","Acme Elite Stainless Steel Scissors","4/12/10","High","","International","4/12/10","Regular Air","Lisboa","917","10.00","1","55,040","24","59.00","6","192","3","8"
"Scissors, Rulers and Trimmers","Redding","Small Pack","North America","United States of America","Tracy Livingston","Consumer","Office Supplies","Acme Elite Stainless Steel Scissors","4/12/10","High","96003","West","4/12/10","Regular Air","California","919","10.00","1","90,492","6","59.00","6","48","3","8"
"Binders and Binder Accessories","Lisbon","Small Box","Europe","Portugal","Dennis Paul","Consumer","Office Supplies","Fellowes Twister Kit, Gray/Clear, 3/pkg","4/12/10","High","","International","4/14/10","Regular Air","Lisboa","917","3.00","1","55,040","34","40.00","160","290","9","8"
"Storage and Organization","Lisbon","Small Box","Europe","Portugal","Dennis Paul","Consumer","Office Supplies","Steel Personal Filing/Posting Tote","4/12/10","High","","International","4/14/10","Regular Air","Lisboa","917","5.00","1","55,040","8","58.00","6","292","6","36"
"Binders and Binder Accessories","Redlands","Small Box","North America","United States of America","Jessie Kelly","Consumer","Office Supplies","Fellowes Twister Kit, Gray/Clear, 3/pkg","4/12/10","High","92374","West","4/14/10","Regular Air","California","920","3.00","1","90,492","9","40.00","160","77","9","8"
"Storage and Organization","Rancho Cucamonga","Small Box","North America","United States of America","Kerry Jernigan","Consumer","Office Supplies","Steel Personal Filing/Posting Tote","4/12/10","High","91730","West","4/14/10","Regular Air","California","918","5.00","1","90,492","2","58.00","6","73","6","36"
"Office Machines","Lisbon","Jumbo Drum","Europe","Portugal","Dennis Paul","Consumer","Technology","Epson DFX-8500 Dot Matrix Printer","4/12/10","High","","International","4/14/10","Delivery Truck","Lisboa","917","8.00","1","55,040","2","57.00","7,373","4,692","30","2,550"
"Paper","Osaka","Small Box","Asia","Japan","Edna Burgess","Small Business","Office Supplies","Array Parchment Paper, Assorted Colors","4/13/10","Critical","","International","4/14/10","Express Air","_saka","3,164","8.00","1","55,046","2","37.00","13","29","11","7"
"Paper","Port Orange","Small Box","North America","United States of America","Janice Boswell","Small Business","Office Supplies","Array Parchment Paper, Assorted Colors","4/13/10","Critical","32127","South","4/14/10","Express Air","Florida","3,169","8.00","1","86,490","1","37.00","44","15","11","7"
"Binders and Binder Accessories","Fort Lee","Small Box","North America","United States of America","Christina Matthews","Corporate","Office Supplies","Staples General Use 3-Ring Binders","4/13/10","Critical","7024","East","4/15/10","Regular Air","New Jersey","171","5.00","1","87,464","1","37.00","3","3","1","2"
"Binders and Binder Accessories","Beijing","Small Box","Asia","China","Mary Washington Hudson","Corporate","Office Supplies","Staples General Use 3-Ring Binders","4/13/10","Critical","","International","4/15/10","Regular Air","Beijing","168","5.00","1","9,635","1","37.00","3","3","1","2"
"Computer Peripherals","South Burlington","Small Pack","North America","United States of America","Sherri Kramer","Small Business","Technology","Imation Neon 80 Minute CD-R Spindle, 50/Pack","4/13/10","Critical","5403","East","4/15/10","Regular Air","Vermont","2,738","2.00","1","89,017","7","45.00","164","238","2","34"
"Computer Peripherals","Osaka","Small Pack","Asia","Japan","Alice Cassidy","Small Business","Technology","Imation Neon 80 Minute CD-R Spindle, 50/Pack","4/13/10","Critical","","International","4/15/10","Regular Air","_saka","2,732","2.00","1","44,448","28","45.00","331","951","2","34"
"Tables","Sanford","Jumbo Box","North America","United States of America","Faye Dyer","Home Office","Furniture","Hon 94000 Series Round Tables","4/14/10","Medium","4073","East","4/15/10","Delivery Truck","Maine","329","6.00","1","89,726","5","76.00","716","1,170","54","296"
"Tables","Buenos Aires","Jumbo Box","South America","Argentina","Thelma Holt","Home Office","Furniture","Hon 94000 Series Round Tables","4/14/10","Medium","","International","4/15/10","Delivery Truck","Province de Buenos Aires","328","6.00","1","8,422","18","76.00","716","4,213","54","296"
"Computer Peripherals","Goffstown","Small Box","North America","United States of America","Bradley Pollock","Home Office","Technology","Acco Keyboard-In-A-Box","4/14/10","Medium","3045","East","4/16/10","Express Air","New Hampshire","331","1.00","1","89,726","8","78.00","23","243","4","29"
"Computer Peripherals","Buenos Aires","Small Box","South America","Argentina","Thelma Holt","Home Office","Technology","Acco Keyboard-In-A-Box","4/14/10","Medium","","International","4/16/10","Express Air","Province de Buenos Aires","328","1.00","1","8,422","33","78.00","23","1,004","4","29"
"Bookcases","New Milford","Jumbo Box","North America","United States of America","Albert Maxwell","Home Office","Furniture","Bush Westfield Collection Bookcases, Fully Assembled","4/14/10","Low","6776","East","4/19/10","Delivery Truck","Connecticut","940","9.00","1","90,844","4","62.00","194","396","36","101"
"Bookcases","Baghdad","Jumbo Box","Asia","Iraq","Oscar Short","Home Office","Furniture","Bush Westfield Collection Bookcases, Fully Assembled","4/14/10","Low","","International","4/19/10","Delivery Truck","Baghdad","938","9.00","1","32,999","14","62.00","194","1,387","36","101"
"Appliances","Osaka","Small Box","Asia","Japan","Kevin Ennis","Consumer","Office Supplies","Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge","4/15/10","Not Specified","","International","4/15/10","Regular Air","_saka","567","9.00","1","33,220","49","59.00","926","3,291","4","71"
"Appliances","Columbus","Small Box","North America","United States of America","Peter McConnell","Consumer","Office Supplies","Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge","4/15/10","Not Specified","39701","South","4/15/10","Regular Air","Mississippi","568","9.00","1","88,880","12","59.00","100","806","4","71"
"Binders and Binder Accessories","Freeport","Small Box","North America","United States of America","Kathleen Huang Hall","Home Office","Office Supplies","GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack","4/15/10","Not Specified","11520","East","4/15/10","Regular Air","New York","1,607","1.00","1","87,994","7","39.00","201","111","15","15"
"Binders and Binder Accessories","Madrid","Small Box","Europe","Spain","Bruce Kahn","Home Office","Office Supplies","GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack","4/15/10","Not Specified","","International","4/15/10","Regular Air","Madrid","1,605","1.00","1","35,041","28","39.00","201","444","15","15"
"Computer Peripherals","Rio de Janeiro","Small Pack","South America","Brazil","Nicholas Watts Cassidy","Consumer","Technology","Memorex 80 Minute CD-R, 30/Pack","4/15/10","Critical","","International","4/16/10","Regular Air","Rio de Janeiro","1,555","1.00","1","58,818","41","46.00","391","998","2","23"
"Chairs and Chairmats","Blacksburg","Jumbo Drum","North America","United States of America","Zachary Maynard","Consumer","Furniture","Hon GuestStacker Chair","4/15/10","Critical","24060","South","4/17/10","Delivery Truck","Virginia","1,559","10.00","1","87,424","5","59.00","391","1,088","28","227"
"Office Furnishings","Osaka","Small Box","Asia","Japan","Kevin Ennis","Consumer","Furniture","12-1/2 Diameter Round Wall Clock","4/15/10","Not Specified","","International","4/18/10","Regular Air","_saka","567","10.00","1","33,220","40","49.00","34","737","10","20"
"Binders and Binder Accessories","Manila","Small Box","Asia","Philippines","Jennifer Currie","Consumer","Office Supplies","Wilson Jones Suede Grain Vinyl Binders","4/16/10","Not Specified","","International","4/17/10","Express Air","R_gion Capitale Nationale","652","0.00","1","50,337","37","36.00","21","123","1","3"
"Binders and Binder Accessories","Rancho Cucamonga","Small Box","North America","United States of America","Ann Katz","Consumer","Office Supplies","Wilson Jones Suede Grain Vinyl Binders","4/16/10","Not Specified","91730","West","4/17/10","Express Air","California","653","0.00","1","91,213","9","36.00","21","30","1","3"
"Office Machines","Watertown","Jumbo Drum","North America","United States of America","Jon Kendall","Corporate","Technology","Epson DFX-8500 Dot Matrix Printer","4/16/10","Critical","53094","Central","4/17/10","Delivery Truck","Wisconsin","2,139","5.00","1","86,003","2","57.00","3,971","4,845","30","2,550"
"Office Machines","Montreal","Jumbo Drum","North America","Canada","Marsha Grossman","Corporate","Technology","Epson DFX-8500 Dot Matrix Printer","4/16/10","Critical","H1A","International","4/17/10","Delivery Truck","Quebec","2,136","5.00","1","19,584","6","57.00","3,971","14,536","30","2,550"
"Office Machines","Manila","Jumbo Drum","Asia","Philippines","Jennifer Currie","Consumer","Technology","Epson DFX-8500 Dot Matrix Printer","4/16/10","Not Specified","","International","4/18/10","Delivery Truck","R_gion Capitale Nationale","652","10.00","1","50,337","6","57.00","3,798","14,735","30","2,550"
"Telephones and Communication","Wuhan","Small Box","Asia","China","Jessie Buckley Stephens","Home Office","Technology","SC7868i","4/16/10","High","","International","4/18/10","Regular Air","Hubei Sheng","1,915","1.00","1","96","37","55.00","1,229","4,158","9","126"
"Telephones and Communication","Little Rock","Small Box","North America","United States of America","Marcia Feldman","Home Office","Technology","SC7868i","4/16/10","High","72209","South","4/18/10","Regular Air","Arkansas","1,916","1.00","1","85,895","9","55.00","45","1,011","9","126"
"Storage and Organization","Kolkata","Small Box","Asia","India","Melvin Hampton","Corporate","Office Supplies","Smead Adjustable Mobile File Trolley with Lockable Top","4/17/10","Low","","International","4/17/10","Regular Air","West Bengal","2,590","2.00","1","30,407","41","58.00","6,227","17,854","20","419"
"Storage and Organization","Athens","Small Box","North America","United States of America","Anne Schultz","Corporate","Office Supplies","Smead Adjustable Mobile File Trolley with Lockable Top","4/17/10","Low","30605","South","4/17/10","Regular Air","Georgia","2,593","2.00","1","87,772","10","58.00","40","4,355","20","419"
"Labels","Kolkata","Small Box","Asia","India","Natalie Dale","Small Business","Office Supplies","Avery 48","4/17/10","Critical","","International","4/17/10","Regular Air","West Bengal","1,040","7.00","1","2,756","42","39.00","112","249","1","6"
"Labels","Woodland","Small Box","North America","United States of America","Mildred Chase","Small Business","Office Supplies","Avery 48","4/17/10","Critical","95695","West","4/17/10","Regular Air","California","1,041","7.00","1","87,846","11","39.00","45","65","1","6"
"Telephones and Communication","Washington","Small Box","North America","United States of America","Dana Teague","Corporate","Technology","M70","4/17/10","High","20016","East","4/18/10","Regular Air","District of Columbia","2,867","1.00","1","11,013","2","59.00","583","227","9","126"
"Telephones and Communication","Edmonds","Small Box","North America","United States of America","Eugene Clayton","Corporate","Technology","M70","4/17/10","High","98026","West","4/18/10","Regular Air","Washington","2,868","1.00","1","85,827","1","59.00","583","113","9","126"
"Computer Peripherals","Woodland","Small Box","North America","United States of America","Mildred Chase","Small Business","Technology","Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum","4/17/10","Critical","95695","West","4/18/10","Regular Air","California","1,041","6.00","1","87,846","6","74.00","14","323","4","56"
"Chairs and Chairmats","Rio de Janeiro","Jumbo Drum","South America","Brazil","Herbert Clayton","Consumer","Furniture","Global Leather Task Chair, Black","4/18/10","Medium","","International","4/18/10","Delivery Truck","Rio de Janeiro","2,654","9.00","1","8,259","25","66.00","585","2,130","42","90"
"Chairs and Chairmats","Atlanta","Jumbo Drum","North America","United States of America","Benjamin Lam","Consumer","Furniture","Global Leather Task Chair, Black","4/18/10","Medium","30318","South","4/18/10","Delivery Truck","Georgia","2,655","9.00","1","86,063","6","66.00","223","511","42","90"
"Chairs and Chairmats","Murfreesboro","Jumbo Drum","North America","United States of America","Miriam Mueller","Corporate","Furniture","Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum","4/18/10","Critical","37130","South","4/19/10","Delivery Truck","Tennessee","665","2.00","1","88,678","6","78.00","91","793","30","131"
"Storage and Organization","Bettendorf","Small Box","North America","United States of America","Kate Peck","Corporate","Office Supplies","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","4/18/10","Medium","52722","Central","4/19/10","Express Air","Iowa","1,826","10.00","1","86,958","7","81.00","517","338","20","53"
"Storage and Organization","Mexico City","Small Box","North America","Mexico","Dale Lanier","Corporate","Office Supplies","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","4/18/10","Medium","","International","4/19/10","Express Air","Distrito Federal","1,825","10.00","1","11,553","28","81.00","517","1,350","20","53"
"Computer Peripherals","Mexico City","Small Box","North America","Mexico","Joel Erickson","Home Office","Technology","Gyration Ultra Professional Cordless Optical Suite","4/18/10","Medium","","International","4/19/10","Regular Air","Distrito Federal","2,096","10.00","1","2,817","14","48.00","202","3,830","7","301"
"Computer Peripherals","Hilton Head Island","Small Box","North America","United States of America","Patsy Shea","Home Office","Technology","Gyration Ultra Professional Cordless Optical Suite","4/18/10","Medium","29915","South","4/19/10","Regular Air","South Carolina","2,097","10.00","1","87,889","4","48.00","138","1,094","7","301"
"Office Furnishings","Mexico City","Wrap Bag","North America","Mexico","Joel Erickson","Home Office","Furniture","Ultra Commercial Grade Dual Valve Door Closer","4/18/10","Medium","","International","4/20/10","Regular Air","Distrito Federal","2,096","6.00","1","2,817","40","53.00","672","1,560","3","40"
"Office Furnishings","Mount Pleasant","Wrap Bag","North America","United States of America","Tracy Dyer","Home Office","Furniture","Ultra Commercial Grade Dual Valve Door Closer","4/18/10","Medium","29464","South","4/20/10","Regular Air","South Carolina","2,098","6.00","1","87,889","10","53.00","39","390","3","40"
"Telephones and Communication","Burlington","Wrap Bag","North America","United States of America","Vincent Hale","Corporate","Technology","Accessory34","4/18/10","Medium","52601","Central","4/20/10","Regular Air","Iowa","1,827","3.00","1","86,958","5","55.00","264","383","1","86"
"Telephones and Communication","Mexico City","Wrap Bag","North America","Mexico","Dale Lanier","Corporate","Technology","Accessory34","4/18/10","Medium","","International","4/20/10","Regular Air","Distrito Federal","1,825","3.00","1","11,553","20","55.00","365","1,531","1","86"
"Bookcases","Burlington","Jumbo Box","North America","United States of America","Vincent Hale","Corporate","Furniture","Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled","4/18/10","Medium","52601","Central","4/21/10","Delivery Truck","Iowa","1,827","7.00","1","86,958","2","78.00","430","215","57","101"
