Category,City,Container,Continent,Country Region,Customer Id,Customer Name,Customer Segment,Department,Item,Order Date,Order Id,Order Priority,Postal Code,Region,Row Id,Ship Date,Ship Mode,State,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Office Furnishings,Midwest City,Small Box,North America,United States of America,1750,Constance Britt,Home Office,Furniture,Eldon Wave Desk Accessories,1/2/11,87246,Low,73110,Central,3450,1/2/11,Regular Air,Oklahoma,0.1,1,9,0.43,-165,19,5,2
Office Furnishings,Clayton,Small Pack,North America,United States of America,518,Mark Ritchie,Home Office,Furniture,Nu-Dell Executive Frame,12/5/10,90867,Low,63105,Central,3197,12/12/10,Regular Air,Missouri,0.07,1,16,0.48,113,200,5,13
Office Furnishings,Houston,Small Pack,North America,United States of America,2567,Dolores Vincent,Home Office,Furniture,Advantus Panel Wall Certificate Holder - 8.5x11,2/27/11,58820,Low,77070,Central,4029,3/4/11,Regular Air,Texas,0.01,1,24,0.43,62,307,6,12
Office Furnishings,Houston,Small Pack,North America,United States of America,2567,Dolores Vincent,Home Office,Furniture,"GE 4 Foot Flourescent Tube, 40 Watt",7/21/13,16098,Low,77070,Central,14357,7/25/13,Regular Air,Texas,0.06,1,43,0.39,51,666,9,15
Office Furnishings,Muskego,Small Pack,North America,United States of America,2568,Betty Schroeder,Home Office,Furniture,Advantus Panel Wall Certificate Holder - 8.5x11,2/27/11,90875,Low,53150,Central,4045,3/4/11,Regular Air,Wisconsin,0.01,1,6,0.43,53,77,6,12
Office Furnishings,Muskego,Small Pack,North America,United States of America,2568,Betty Schroeder,Home Office,Furniture,"GE 4 Foot Flourescent Tube, 40 Watt",7/21/13,90877,Low,53150,Central,14373,7/25/13,Regular Air,Wisconsin,0.06,1,11,0.39,55,170,9,15
Office Furnishings,Eastpointe,Wrap Bag,North America,United States of America,2023,Dan George,Home Office,Furniture,"Master Caster Door Stop, Brown",9/20/11,90762,Low,48021,Central,6106,9/22/11,Regular Air,Michigan,0.05,1,19,0.51,25,94,2,5
Office Furnishings,Kenosha,Wrap Bag,North America,United States of America,2553,Virginia McNeill,Home Office,Furniture,"Master Giant Foot Doorstop, Safety Yellow",2/23/13,86533,Low,53142,Central,12082,2/25/13,Regular Air,Wisconsin,0.07,1,10,0.42,25,74,4,8
Tables,Derry,Large Box,North America,United States of America,943,Howard Elliott,Home Office,Furniture,Hon 2111 Invitation Series Corner Table,11/25/11,90846,Low,3038,East,6862,11/29/11,Regular Air,New Hampshire,0.09,1,17,0.79,101,"3,492",69,209
Office Furnishings,Hudson,Medium Box,North America,United States of America,2082,Kathryn Jenkins,Home Office,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66 x 60, Lip 20 x 11 -90 Degree Angle",3/25/11,86093,Low,44236,East,4281,4/1/11,Regular Air,Ohio,0.05,1,4,0.69,317,459,14,111
Office Furnishings,Franklin Square,Small Box,North America,United States of America,1606,Don Rogers,Home Office,Furniture,"Computer Room Manger, 14",8/11/12,87996,Low,11010,East,9719,8/15/12,Regular Air,New York,0.07,1,16,0.49,353,511,7,32
Office Furnishings,Hazleton,Small Box,North America,United States of America,3304,Ronald Perry,Home Office,Furniture,"Eldon Image Series Desk Accessories, Burgundy",5/31/11,87798,Low,18201,East,4959,6/4/11,Regular Air,Pennsylvania,0.06,1,9,0.49,-95,39,7,4
Office Furnishings,State College,Small Box,North America,United States of America,2250,Alvin Hoover,Home Office,Furniture,Eldon Wave Desk Accessories,10/13/10,86699,Low,16801,East,2743,10/20/10,Regular Air,Pennsylvania,0,1,22,0.43,-193,51,5,2
Office Furnishings,Franklin Square,Wrap Bag,North America,United States of America,1606,Don Rogers,Home Office,Furniture,"Master Big Foot Doorstop, Beige",1/29/13,87998,Low,11010,East,11723,2/3/13,Regular Air,New York,0.04,1,4,0.54,-5,23,4,5
Office Furnishings,Penn Hills,Wrap Bag,North America,United States of America,2018,Tracey Garcia,Home Office,Furniture,Eldon 500 Class Desk Accessories,2/10/12,86940,Low,15235,East,7719,2/10/12,Regular Air,Pennsylvania,0.03,1,3,0.52,27,40,6,12
Office Furnishings,Cairo,Large Box,Africa,Egypt,944,Victor Roberson Sanchez,Home Office,Furniture,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,11/20/11,8582,Low,,International,6780,11/20/11,Regular Air,Al Qahirah,0.04,1,51,0.61,"4,075","5,292",24,105
Office Furnishings,Casablanca,Medium Box,Africa,Morocco,2076,Calvin Cooke,Home Office,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66 x 60, Lip 20 x 11 -90 Degree Angle",3/25/11,35430,Low,,International,4275,4/1/11,Regular Air,Rgion du Grand Casablanca,0.05,1,16,0.69,609,"1,836",14,111
Office Furnishings,Lagos,Medium Box,Africa,Nigeria,1768,Joy Law,Home Office,Furniture,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",11/12/12,5925,Low,,International,10691,11/19/12,Regular Air,Lagos State,0.08,1,150,0.67,"2,129","13,372",40,92
Office Furnishings,Cairo,Small Box,Africa,Egypt,944,Victor Roberson Sanchez,Home Office,Furniture,Eldon Expressions Mahogany Wood Desk Collection,11/14/12,871,Low,,International,10713,11/14/12,Regular Air,Al Qahirah,0.06,1,58,0.6,210,358,5,6
Office Furnishings,Lagos,Small Box,Africa,Nigeria,1768,Joy Law,Home Office,Furniture,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",6/30/13,46912,Low,,International,14054,6/30/13,Regular Air,Lagos State,0,1,8,0.54,362,470,15,55
Office Furnishings,Kimberley,Small Box,Africa,South Africa,2504,Colleen Sherrill,Home Office,Furniture,Howard Miller 13 Diameter Goldtone Round Wall Clock,5/24/13,42691,Low,,International,13513,6/2/13,Regular Air,Northern Cape,0,1,65,0.44,"1,170","3,182",7,47
Office Furnishings,Casablanca,Wrap Bag,Africa,Morocco,3216,Kristen Katz Mason,Home Office,Furniture,"Master Caster Door Stop, Brown",8/18/13,6018,Low,,International,14802,8/20/13,Regular Air,Rgion du Grand Casablanca,0,1,78,0.51,264,412,2,5
Chairs  and  Chairmats,Kolkata,Large Box,Asia,India,1766,Earl McLeod,Home Office,Furniture,"Lifetime Advantage Folding Chairs, 4/Carton",11/16/11,22404,Low,,International,6728,11/23/11,Regular Air,West Bengal,0.06,1,119,0.57,"19,019","24,700",18,218
Office Furnishings,Seoul,Large Box,Asia,Republic of Korea,2005,Audrey Cline,Home Office,Furniture,"Dana Fluorescent Magnifying Lamp, White, 36",4/22/12,43013,Low,,International,8501,4/26/12,Regular Air,Soul,0.08,1,56,0.55,26,"2,730",22,51
Office Furnishings,Seoul,Large Box,Asia,Republic of Korea,2340,Sarah Middleton,Home Office,Furniture,Dana Halogen Swing-Arm Architect Lamp,6/9/12,31169,Low,,International,9035,6/13/12,Regular Air,Soul,0.06,1,10,0.57,327,425,14,41
Tables,Beijing,Large Box,Asia,China,449,Jason Fink,Home Office,Furniture,Hon 2111 Invitation Series Corner Table,9/24/12,31233,Low,,International,10178,10/3/12,Regular Air,Beijing,0,1,37,0.79,-626,"8,268",69,209
Tables,Baghdad,Large Box,Asia,Iraq,938,Oscar Short,Home Office,Furniture,Hon 2111 Invitation Series Corner Table,11/25/13,30754,Low,,International,16303,11/29/13,Regular Air,Baghdad,0.09,1,72,0.79,"4,038","14,789",69,209
Chairs  and  Chairmats,Shenzhen,Medium Box,Asia,China,2465,Cecil Perkins,Home Office,Furniture,SAFCO Folding Chair Trolley,3/15/12,55621,Low,,International,8086,3/17/12,Regular Air,Guangdong Sheng,0.03,1,56,,"1,813","7,119",13,128
Chairs  and  Chairmats,Tokyo,Medium Box,Asia,Japan,2836,Regina Williamson,Home Office,Furniture,SAFCO Folding Chair Trolley,10/12/13,9765,Low,,International,15698,10/19/13,Regular Air,Tokyo,0.03,1,55,,"1,020","7,416",13,128
Office Furnishings,Guangzhou,Medium Box,Asia,China,2154,Megan H Odom,Home Office,Furniture,Eldon Cleatmat Chair Mats for Medium Pile Carpets,9/16/10,27330,Low,,International,2465,9/16/10,Regular Air,Guangdong Sheng,0.05,1,15,0.72,-119,952,52,56
Office Furnishings,Guangzhou,Medium Box,Asia,China,1932,Kevin Beck,Home Office,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66 x 60, Lip 20 x 11 -90 Degree Angle",11/30/10,12258,Low,,International,3145,12/4/10,Regular Air,Guangdong Sheng,0.01,1,75,0.69,"6,382","8,288",14,111
Office Furnishings,Pune,Small Box,Asia,India,3301,Harriet Kirby,Home Office,Furniture,"Eldon Image Series Desk Accessories, Burgundy",5/31/11,14119,Low,,International,4955,6/4/11,Regular Air,Maharashtra,0.06,1,35,0.49,-95,150,7,4
Office Furnishings,Tokyo,Small Box,Asia,Japan,2246,Christian Starr,Home Office,Furniture,Eldon Wave Desk Accessories,10/13/10,43360,Low,,International,2738,10/20/10,Regular Air,Tokyo,0,1,86,0.43,-214,201,5,2
Office Furnishings,Busan,Small Box,Asia,Republic of Korea,1345,Alexandra Parker,Home Office,Furniture,DAX Natural Wood-Tone Poster Frame,6/11/13,46211,Low,,International,13807,6/18/13,Regular Air,Busan,0.08,1,71,0.49,"1,446","1,879",7,26
Office Furnishings,Wuhan,Small Pack,Asia,China,1915,Jessie Buckley Stephens,Home Office,Furniture,Executive Impressions 13 Chairman Wall Clock,3/2/13,21478,Low,,International,12170,3/4/13,Regular Air,Hubei Sheng,0.01,1,16,0.5,127,423,9,25
Office Furnishings,Tokyo,Small Pack,Asia,Japan,517,Grace Abrams,Home Office,Furniture,Nu-Dell Executive Frame,12/5/13,16032,Low,,International,16448,12/12/13,Regular Air,Tokyo,0.07,1,70,0.48,603,874,5,13
Office Furnishings,Wuhan,Wrap Bag,Asia,China,2022,Amanda Rice Daniels,Home Office,Furniture,"Master Caster Door Stop, Brown",9/20/11,14529,Low,,International,6099,9/22/11,Regular Air,Hubei Sheng,0.05,1,76,0.51,25,378,2,5
Office Furnishings,Bangalore,Wrap Bag,Asia,India,1780,Warren Vaughn,Home Office,Furniture,"Master Caster Door Stop, Brown",7/7/10,10305,Low,,International,1810,7/12/10,Regular Air,Karnataka,0.03,1,14,0.51,21,77,2,5
Office Furnishings,Moscow,Wrap Bag,Asia,Russian Federation,2552,Catherine Powell,Home Office,Furniture,"Master Giant Foot Doorstop, Safety Yellow",2/23/13,8388,Low,,International,12069,2/25/13,Regular Air,Moskva (city),0.07,1,39,0.42,25,290,4,8
Office Furnishings,Sydney,Medium Box,Australasia,Australia,1137,Ted Oliver,Home Office,Furniture,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39 x 49",1/28/11,5381,Low,2000,International,3690,2/4/11,Regular Air,New South Wales,0.07,1,47,0.65,618,"4,888",6,108
Office Furnishings,Rome,Medium Box,Europe,Italy,150,Johnny Katz,Home Office,Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,4/19/10,30176,Low,,International,1084,4/26/10,Regular Air,Lazio,0.01,1,30,0.74,-548,"2,504",48,80
Office Furnishings,Madrid,Small Box,Europe,Spain,1605,Bruce Kahn,Home Office,Furniture,"Computer Room Manger, 14",8/11/12,17958,Low,,International,9713,8/15/12,Regular Air,Madrid,0.07,1,65,0.49,"1,598","2,076",7,32
Office Furnishings,Paris,Wrap Bag,Europe,France,2016,Gail Lin,Home Office,Furniture,Eldon 500 Class Desk Accessories,2/10/12,21989,Low,75012,International,7711,2/10/12,Regular Air,le-de-France,0.03,1,10,0.52,31,132,6,12
Office Furnishings,Madrid,Wrap Bag,Europe,Spain,1605,Bruce Kahn,Home Office,Furniture,"Master Big Foot Doorstop, Beige",1/29/13,3168,Low,,International,11718,2/3/13,Regular Air,Madrid,0.04,1,15,0.54,-7,86,4,5
Chairs  and  Chairmats,Salvador,Large Box,South America,Brazil,2898,Faye Francis,Home Office,Furniture,"Lifetime Advantage Folding Chairs, 4/Carton",5/19/12,512,Low,,International,8775,5/19/12,Regular Air,Bahia,0.06,1,9,0.57,19,"1,964",18,218
Office Furnishings,Buenos Aires,Small Pack,South America,Argentina,2722,Tom C Frederick,Home Office,Furniture,Aluminum Document Frame,5/24/12,42214,Low,,International,8864,5/31/12,Regular Air,Province de Buenos Aires,0.03,1,72,0.55,154,892,3,12
Chairs  and  Chairmats,Newnan,Large Box,North America,United States of America,1767,Robert Rollins,Home Office,Furniture,"Lifetime Advantage Folding Chairs, 4/Carton",11/16/11,89212,Low,30265,South,6732,11/23/11,Regular Air,Georgia,0.06,1,30,0.57,-132,"6,227",18,218
Chairs  and  Chairmats,East Point,Large Box,North America,United States of America,2899,Benjamin Harvey,Home Office,Furniture,"Lifetime Advantage Folding Chairs, 4/Carton",5/19/12,86295,Low,30344,South,8782,5/19/12,Regular Air,Georgia,0.06,1,2,0.57,-93,437,18,218
Chairs  and  Chairmats,Thomasville,Medium Box,North America,United States of America,2469,Herbert Reddy,Home Office,Furniture,SAFCO Folding Chair Trolley,3/15/12,88142,Low,27360,South,8098,3/17/12,Regular Air,North Carolina,0.03,1,14,,3,"1,780",13,128
Office Furnishings,Atlanta,Medium Box,North America,United States of America,1745,Herbert Holden,Home Office,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48",2/14/10,13408,Low,30305,South,481,2/16/10,Regular Air,Georgia,0.04,1,4,0.64,117,257,12,61
Office Furnishings,Charlotte,Medium Box,North America,United States of America,272,Eleanor Swain,Home Office,Furniture,Tenex Antistatic Computer Chair Mats,12/5/13,36069,Low,28204,South,16451,12/12/13,Regular Air,North Carolina,0,1,30,0.75,648,"5,516",14,171
Office Furnishings,Knoxville,Medium Box,North America,United States of America,152,Kent Kerr,Home Office,Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,4/19/10,89522,Low,37918,South,1090,4/26/10,Regular Air,Tennessee,0.01,1,8,0.74,-41,668,48,80
Office Furnishings,Coconut Creek,Small Box,North America,United States of America,1348,Calvin J Marcus,Home Office,Furniture,DAX Natural Wood-Tone Poster Frame,6/11/11,89688,Low,33063,South,5063,6/18/11,Regular Air,Florida,0.08,1,18,0.49,3,476,7,26
Office Furnishings,Atlanta,Small Box,North America,United States of America,1745,Herbert Holden,Home Office,Furniture,Eldon Wave Desk Accessories,1/2/11,54145,Low,30305,South,3445,1/2/11,Regular Air,Georgia,0.1,1,34,0.43,-177,70,5,2
Office Furnishings,Charlotte,Small Box,North America,United States of America,272,Eleanor Swain,Home Office,Furniture,Eldon Executive Woodline II Cherry Finish Desk Accessories,4/7/10,5509,Low,28204,South,963,4/14/10,Regular Air,North Carolina,0.03,1,21,0.57,53,885,19,41
Office Furnishings,North Little Rock,Small Pack,North America,United States of America,1917,Tracy Buckley,Home Office,Furniture,Executive Impressions 13 Chairman Wall Clock,3/2/13,85905,Low,72113,South,12179,3/4/13,Regular Air,Arkansas,0.01,1,4,0.5,"5,534",106,9,25
Office Furnishings,Clarksville,Small Pack,North America,United States of America,2725,Katharine Hudson,Home Office,Furniture,Aluminum Document Frame,5/24/12,88961,Low,37042,South,8869,5/31/12,Regular Air,Tennessee,0.03,1,18,0.55,-166,223,3,12
Office Furnishings,Gainesville,Wrap Bag,North America,United States of America,3217,Victor McAllister,Home Office,Furniture,"Master Caster Door Stop, Brown",8/18/13,89137,Low,30501,South,14811,8/20/13,Regular Air,Georgia,0,1,20,0.51,8,106,2,5
Office Furnishings,Saratoga,Large Box,North America,United States of America,945,Stephanie Sun Perry,Home Office,Furniture,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,11/20/11,86569,Low,95070,West,6782,11/20/11,Regular Air,California,0.04,1,13,0.61,931,"1,349",24,105
Office Furnishings,Albuquerque,Large Box,North America,United States of America,2007,Lauren West,Home Office,Furniture,"Dana Fluorescent Magnifying Lamp, White, 36",4/22/12,88806,Low,87105,West,8509,4/26/12,Regular Air,New Mexico,0.08,1,14,0.55,26,683,22,51
Tables,Los Gatos,Large Box,North America,United States of America,453,George Terry,Home Office,Furniture,Hon 2111 Invitation Series Corner Table,9/24/12,86023,Low,95032,West,10186,10/3/12,Regular Air,California,0,1,9,0.79,-626,"2,011",69,209
Office Furnishings,Gilbert,Medium Box,North America,United States of America,269,Calvin Boyette,Home Office,Furniture,Tenex Antistatic Computer Chair Mats,12/5/10,88942,Low,85234,West,3199,12/12/10,Regular Air,Arizona,0,1,7,0.75,888,"1,287",14,171
Office Furnishings,Flagstaff,Small Box,North America,United States of America,268,James Beck,Home Office,Furniture,Eldon Executive Woodline II Cherry Finish Desk Accessories,4/7/10,88941,Low,86001,West,970,4/14/10,Regular Air,Arizona,0.03,1,5,0.57,79,211,19,41
Office Furnishings,Saratoga,Small Box,North America,United States of America,945,Stephanie Sun Perry,Home Office,Furniture,Eldon Expressions Mahogany Wood Desk Collection,11/14/12,86570,Low,95070,West,10715,11/14/12,Regular Air,California,0.06,1,14,0.6,7,86,5,6
Office Furnishings,Daly City,Small Box,North America,United States of America,2505,Cameron Gentry Herndon,Home Office,Furniture,Howard Miller 13 Diameter Goldtone Round Wall Clock,5/24/11,87034,Low,94015,West,4880,6/2/11,Regular Air,California,0,1,18,0.44,608,881,7,47
Office Furnishings,San Carlos,Wrap Bag,North America,United States of America,1781,Jackie Capps,Home Office,Furniture,"Master Caster Door Stop, Brown",7/7/10,89858,Low,94070,West,1814,7/12/10,Regular Air,California,0.03,1,4,0.51,15,22,2,5
Office Furnishings,Glendale Heights,Large Box,North America,United States of America,2342,Danny Francis Bell,Home Office,Furniture,Electrix Halogen Magnifier Lamp,9/19/13,88996,Medium,60139,Central,15342,9/21/13,Regular Air,Illinois,0.01,1,12,0.59,"1,688","2,447",12,194
Office Furnishings,Cloverleaf,Medium Box,North America,United States of America,2339,Gordon Boswell,Home Office,Furniture,DAX Solid Wood Frames,5/4/12,91483,Medium,77015,Central,8649,5/5/12,Regular Air,Texas,0.04,1,8,0.48,6,80,6,10
Office Furnishings,Columbia,Small Box,North America,United States of America,2129,Alan Chase,Home Office,Furniture,Seth Thomas 12 Clock w/ Goldtone Case,12/12/11,90081,Medium,65203,Central,7055,12/13/11,Regular Air,Missouri,0.08,1,15,0.51,179,324,8,23
Office Furnishings,West Bend,Small Box,North America,United States of America,3361,Oscar Kenney,Home Office,Furniture,Staples Plastic Wall Frames,7/26/10,91436,Medium,53095,Central,1976,7/26/10,Regular Air,Wisconsin,0.04,1,15,0.41,-8,116,5,8
Office Furnishings,Haltom City,Small Pack,North America,United States of America,2118,Sheryl Cole,Home Office,Furniture,Executive Impressions 13 Clairmont Wall Clock,3/10/12,90893,Medium,76117,Central,8035,3/12/12,Regular Air,Texas,0.07,1,6,0.44,81,117,6,19
Office Furnishings,Joliet,Wrap Bag,North America,United States of America,2472,Ricky Sanders,Home Office,Furniture,Ultra Commercial Grade Dual Valve Door Closer,5/30/12,86517,Medium,60432,Central,8926,5/31/12,Regular Air,Illinois,0.03,1,18,0.53,490,710,3,40
Office Furnishings,Apple Valley,Wrap Bag,North America,United States of America,2185,Benjamin Humphrey,Home Office,Furniture,"Master Giant Foot Doorstop, Safety Yellow",5/7/12,91534,Medium,55124,Central,8681,5/9/12,Regular Air,Minnesota,0.03,1,15,0.42,34,115,4,8
Office Furnishings,Harker Heights,Wrap Bag,North America,United States of America,2218,Hilda Fletcher,Home Office,Furniture,"Eldon Delta Triangular Chair Mat, 52 x 58, Clear",2/21/13,91226,Medium,76543,Central,12065,2/22/13,Regular Air,Texas,0.05,1,2,0.67,53,78,14,38
Office Furnishings,Edison,Large Box,North America,United States of America,1098,Gregory Barefoot,Home Office,Furniture,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",9/9/13,89638,Medium,8817,East,15149,9/12/13,Regular Air,New Jersey,0.05,1,11,0.59,915,"1,459",24,137
Tables,Glen Cove,Large Box,North America,United States of America,1625,Molly Browning,Home Office,Furniture,Hon 2111 Invitation Series Corner Table,8/16/10,90601,Medium,11542,East,2190,8/18/10,Regular Air,New York,0,1,11,0.79,-263,"1,960",69,209
Office Furnishings,Owings Mills,Small Box,North America,United States of America,3376,Julie Willis,Home Office,Furniture,DAX Natural Wood-Tone Poster Frame,7/6/13,87482,Medium,21117,East,14130,7/7/13,Regular Air,Maryland,0.03,1,7,0.49,127,184,7,26
Office Furnishings,Troy,Small Box,North America,United States of America,210,Floyd Dale,Home Office,Furniture,Seth Thomas 8 1/2 Cubicle Clock,12/2/10,85966,Medium,12180,East,3174,12/2/10,Regular Air,New York,0.02,1,3,0.53,45,65,7,20
Office Furnishings,Cleveland Heights,Small Box,North America,United States of America,263,Carlos Hess,Home Office,Furniture,Howard Miller 13 Diameter Goldtone Round Wall Clock,7/25/11,86300,Medium,44106,East,5489,7/28/11,Regular Air,Ohio,0.02,1,12,0.44,386,560,7,47
Office Furnishings,Watertown,Small Pack,North America,United States of America,351,Juanita Coley Knox,Home Office,Furniture,"GE 48 Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",7/2/10,88686,Medium,13601,East,1753,7/4/10,Regular Air,New York,0.04,1,14,0.35,994,"1,440",9,99
Office Furnishings,Scranton,Small Pack,North America,United States of America,2249,Priscilla Allred,Home Office,Furniture,Executive Impressions 14 Contract Wall Clock,5/25/13,86707,Medium,18504,East,13544,5/27/13,Regular Air,Pennsylvania,0.04,1,5,0.52,75,108,4,22
Office Furnishings,Abidjan,Medium Box,Africa,Cte-dIvoire,2336,Faye Lassiter,Home Office,Furniture,DAX Solid Wood Frames,5/4/12,37314,Medium,,International,8640,5/5/12,Regular Air,Rgion des Lagunes,0.04,1,33,0.48,6,331,6,10
Office Furnishings,Cairo,Small Box,Africa,Egypt,209,Tiffany Hancock,Home Office,Furniture,Seth Thomas 8 1/2 Cubicle Clock,12/2/13,36355,Medium,,International,16395,12/2/13,Regular Air,Al Qahirah,0.02,1,12,0.53,199,259,7,20
Office Furnishings,Cairo,Small Pack,Africa,Egypt,2452,Suzanne Pennington,Home Office,Furniture,Executive Impressions 13 Chairman Wall Clock,5/6/13,6785,Medium,,International,13182,5/8/13,Regular Air,Al Qahirah,0.03,1,9,0.5,80,233,9,25
Office Furnishings,Tokyo,Large Box,Asia,Japan,1260,Edward Murphy,Home Office,Furniture,Electrix Halogen Magnifier Lamp,2/5/11,39110,Medium,,International,3781,2/5/11,Regular Air,Tokyo,0.1,1,14,0.59,"1,217","2,595",12,194
Office Furnishings,Seoul,Large Box,Asia,Republic of Korea,2340,Sarah Middleton,Home Office,Furniture,Electrix Halogen Magnifier Lamp,9/19/13,12096,Medium,,International,15333,9/21/13,Regular Air,Soul,0.01,1,48,0.59,"7,536","9,787",12,194
Tables,Beijing,Large Box,Asia,China,3150,Charlene Garrett,Home Office,Furniture,Hon 2111 Invitation Series Corner Table,8/28/10,47877,Medium,,International,2300,8/30/10,Regular Air,Beijing,0.08,1,88,0.79,973,"14,473",69,209
Tables,Lahore,Large Box,Asia,Pakistan,1624,Gregory Sawyer,Home Office,Furniture,Hon 2111 Invitation Series Corner Table,8/16/10,23392,Medium,,International,2185,8/18/10,Regular Air,Punjab,0,1,43,0.79,304,"7,661",69,209
Office Furnishings,Changchun,Medium Box,Asia,China,755,Sheryl Kumar,Home Office,Furniture,Eldon Cleatmat Chair Mats for Medium Pile Carpets,5/13/13,28097,Medium,,International,13346,5/16/13,Regular Air,Jilin Sheng,0,1,56,0.72,"-1,413","3,176",52,56
Office Furnishings,Chongqing,Small Box,Asia,China,3373,Patsy Frye,Home Office,Furniture,DAX Natural Wood-Tone Poster Frame,7/6/10,58727,Medium,,International,1799,7/7/10,Regular Air,Chongqing Shi,0.03,1,24,0.49,181,631,7,26
Office Furnishings,Osaka,Small Box,Asia,Japan,2576,Annie Rouse,Home Office,Furniture,Regeneration Desk Collection,7/17/13,32070,Medium,,International,14303,7/17/13,Regular Air,_saka,0.07,1,70,0.41,-434,121,5,2
Office Furnishings,Wuhan,Small Pack,Asia,China,1915,Jessie Buckley Stephens,Home Office,Furniture,Executive Impressions 13-1/2 Indoor/Outdoor Wall Clock,3/27/10,21633,Medium,,International,845,3/28/10,Regular Air,Hubei Sheng,0.08,1,29,0.47,70,548,9,19
Office Furnishings,Tokyo,Small Pack,Asia,Japan,2246,Christian Starr,Home Office,Furniture,Executive Impressions 14 Contract Wall Clock,5/25/11,31522,Medium,,International,4889,5/27/11,Regular Air,Tokyo,0.04,1,20,0.52,134,432,4,22
Office Furnishings,Moscow,Small Pack,Asia,Russian Federation,2116,Stuart Burke,Home Office,Furniture,Executive Impressions 13 Clairmont Wall Clock,3/10/12,20453,Medium,,International,8024,3/12/12,Regular Air,Moskva (city),0.07,1,26,0.44,153,509,6,19
Office Furnishings,Guangzhou,Wrap Bag,Asia,China,2471,Betsy Quinn,Home Office,Furniture,Ultra Commercial Grade Dual Valve Door Closer,5/30/12,995,Medium,,International,8923,5/31/12,Regular Air,Guangdong Sheng,0.03,1,72,0.53,783,"2,842",3,40
Office Furnishings,Manila,Wrap Bag,Asia,Philippines,1013,Joel Mann,Home Office,Furniture,Coloredge Poster Frame,10/1/12,49760,Medium,,International,10242,10/2/12,Regular Air,Rgion Capitale Nationale,0.09,1,6,0.46,30,90,5,14
Office Furnishings,Suva,Wrap Bag,Australasia,Fiji,2217,Christina Dickerson Stanton,Home Office,Furniture,"Eldon Delta Triangular Chair Mat, 52 x 58, Clear",2/21/13,46466,Medium,,International,12063,2/22/13,Regular Air,Central,0.05,1,7,0.67,71,271,14,38
Office Furnishings,Berlin,Small Box,Europe,Germany,3357,Beth Brandon,Home Office,Furniture,Staples Plastic Wall Frames,7/26/10,48453,Medium,10999,International,1966,7/26/10,Regular Air,Berlin,0.04,1,60,0.41,-8,464,5,8
Office Furnishings,Warsaw,Small Box,Europe,Poland,261,Calvin Moser,Home Office,Furniture,Howard Miller 13 Diameter Goldtone Round Wall Clock,7/25/11,31073,Medium,,International,5478,7/28/11,Regular Air,Mazowieckie,0.02,1,47,0.44,843,"2,192",7,47
Office Furnishings,Paris,Wrap Bag,Europe,France,2184,Erika Olson,Home Office,Furniture,"Master Giant Foot Doorstop, Safety Yellow",5/7/12,34791,Medium,75017,International,8675,5/9/12,Regular Air,le-de-France,0.03,1,58,0.42,34,446,4,8
Office Furnishings,Mexico City,Medium Box,North America,Mexico,3271,Kevin Erickson,Home Office,Furniture,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",5/7/11,7553,Medium,,International,4666,5/8/11,Regular Air,Distrito Federal,0.07,1,17,0.67,47,"1,529",40,92
Office Furnishings,Mexico City,Small Box,North America,Mexico,3271,Kevin Erickson,Home Office,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",8/3/12,56647,Medium,,International,9633,8/4/12,Regular Air,Distrito Federal,0.02,1,81,0.57,185,825,13,10
Office Furnishings,Guadalajara,Small Box,North America,Mexico,2128,Teresa Hancock,Home Office,Furniture,Seth Thomas 12 Clock w/ Goldtone Case,12/12/11,10242,Medium,,International,7038,12/13/11,Regular Air,Jalisco,0.08,1,59,0.51,805,"1,274",8,23
Office Furnishings,Mexico City,Wrap Bag,North America,Mexico,2096,Joel Erickson,Home Office,Furniture,Ultra Commercial Grade Dual Valve Door Closer,4/18/10,2817,Medium,,International,1071,4/20/10,Regular Air,Distrito Federal,0.06,1,40,0.53,672,"1,560",3,40
Office Furnishings,Sao Paulo,Large Box,South America,Brazil,1094,Tom Wong,Home Office,Furniture,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",9/9/13,17959,Medium,,International,15142,9/12/13,Regular Air,Sa_o Paulo,0.05,1,44,0.59,"3,049","5,834",24,137
